vaccine,geography_type,geography,fips,year_season,month,dimension_type,dimension,coverage_estimate,_95_ci,population_sample_size
Seasonal Influenza,HHS Regions/National,United States,100,2011-12,3,Age,6 Months - 17 Years,50.7,49.8 to 51.6,96254
Seasonal Influenza,HHS Regions/National,United States,100,2020-21,12,Age,6 Months - 17 Years,53.5,53.0 to 54.0,145783
Seasonal Influenza,HHS Regions/National,United States,100,2020-21,11,Age,6 Months - 17 Years,49.7,49.2 to 50.2,145783
Seasonal Influenza,HHS Regions/National,United States,100,2020-21,10,Age,6 Months - 17 Years,39.7,39.2 to 40.2,145783
Seasonal Influenza,HHS Regions/National,United States,100,2020-21,3,Age,6 Months - 17 Years,57.9,57.3 to 58.5,145783
Seasonal Influenza,HHS Regions/National,United States,100,2020-21,2,Age,6 Months - 17 Years,57.0,56.4 to 57.6,145783
Seasonal Influenza,HHS Regions/National,United States,100,2020-21,1,Age,6 Months - 17 Years,55.7,55.2 to 56.2,145783
Seasonal Influenza,HHS Regions/National,United States,100,2013-14,1,Age,6 Months - 17 Years,55.6,54.9 to 56.3,126860
Seasonal Influenza,HHS Regions/National,United States,100,2013-14,2,Age,6 Months - 17 Years,57.2,56.5 to 57.9,126860
Seasonal Influenza,HHS Regions/National,United States,100,2019-20,4,Age,6 Months - 17 Years,63.6,63.0 to 64.2,153533
Seasonal Influenza,HHS Regions/National,United States,100,2019-20,3,Age,6 Months - 17 Years,63.3,62.7 to 63.9,153533
Seasonal Influenza,HHS Regions/National,United States,100,2019-20,5,Age,6 Months - 17 Years,63.7,63.1 to 64.3,153533
Seasonal Influenza,HHS Regions/National,United States,100,2020-21,7,Age,6 Months - 17 Years,1.4,1.3 to 1.5,145783
Seasonal Influenza,HHS Regions/National,United States,100,2020-21,9,Age,6 Months - 17 Years,17.8,17.4 to 18.2,145783
Seasonal Influenza,HHS Regions/National,United States,100,2020-21,8,Age,6 Months - 17 Years,5.5,5.3 to 5.7,145783
Seasonal Influenza,HHS Regions/National,United States,100,2019-20,10,Age,6 Months - 17 Years,39.4,38.9 to 39.9,153533
Seasonal Influenza,HHS Regions/National,United States,100,2019-20,9,Age,6 Months - 17 Years,17.5,17.1 to 17.9,153533
Seasonal Influenza,HHS Regions/National,United States,100,2019-20,11,Age,6 Months - 17 Years,51.9,51.4 to 52.4,153533
Seasonal Influenza,HHS Regions/National,United States,100,2019-20,12,Age,6 Months - 17 Years,57.0,56.5 to 57.5,153533
Seasonal Influenza,HHS Regions/National,United States,100,2019-20,1,Age,6 Months - 17 Years,60.4,59.8 to 61.0,153533
Seasonal Influenza,HHS Regions/National,United States,100,2019-20,2,Age,6 Months - 17 Years,62.5,61.9 to 63.1,153533
Seasonal Influenza,HHS Regions/National,United States,100,2019-20,8,Age,6 Months - 17 Years,6.2,6.0 to 6.4,153533
Seasonal Influenza,HHS Regions/National,United States,100,2018-19,2,Age,6 Months - 17 Years,60.2,59.6 to 60.8,139358
Seasonal Influenza,HHS Regions/National,United States,100,2021-22,10,Age,6 Months - 17 Years,34.6,34.2 to 35.0,158146
Seasonal Influenza,HHS Regions/National,United States,100,2021-22,9,Age,6 Months - 17 Years,15.4,15.1 to 15.7,158146
Seasonal Influenza,HHS Regions/National,United States,100,2021-22,8,Age,6 Months - 17 Years,5.1,4.9 to 5.3,158146
Seasonal Influenza,HHS Regions/National,United States,100,2021-22,7,Age,6 Months - 17 Years,1.3,1.2 to 1.4,158146
Seasonal Influenza,HHS Regions/National,United States,100,2020-21,5,Age,6 Months - 17 Years,58.6,58.0 to 59.2,145783
Seasonal Influenza,HHS Regions/National,United States,100,2020-21,4,Age,6 Months - 17 Years,58.3,57.7 to 58.9,145783
Seasonal Influenza,HHS Regions/National,United States,100,2021-22,4,Age,6 Months - 17 Years,57.2,56.7 to 57.7,158146
Seasonal Influenza,HHS Regions/National,United States,100,2021-22,5,Age,6 Months - 17 Years,57.8,57.3 to 58.3,158146
Seasonal Influenza,HHS Regions/National,United States,100,2021-22,2,Age,6 Months - 17 Years,54.8,54.3 to 55.3,158146
Seasonal Influenza,HHS Regions/National,United States,100,2021-22,1,Age,6 Months - 17 Years,52.7,52.2 to 53.2,158146
Seasonal Influenza,HHS Regions/National,United States,100,2021-22,12,Age,6 Months - 17 Years,49.8,49.3 to 50.3,158146
Seasonal Influenza,HHS Regions/National,United States,100,2021-22,11,Age,6 Months - 17 Years,45.0,44.6 to 45.4,158146
Seasonal Influenza,HHS Regions/National,United States,100,2021-22,3,Age,6 Months - 17 Years,56.3,55.8 to 56.8,158146
Seasonal Influenza,HHS Regions/National,United States,100,2022-23,7,Age,6 Months - 17 Years,1.5,1.4 to 1.6,131255
Seasonal Influenza,HHS Regions/National,United States,100,2022-23,8,Age,6 Months - 17 Years,5.8,5.6 to 6.0,131255
Seasonal Influenza,HHS Regions/National,United States,100,2022-23,9,Age,6 Months - 17 Years,16.0,15.7 to 16.3,131255
Seasonal Influenza,HHS Regions/National,United States,100,2022-23,10,Age,6 Months - 17 Years,35.8,35.3 to 36.3,131255
Seasonal Influenza,HHS Regions/National,United States,100,2022-23,11,Age,6 Months - 17 Years,46.6,46.1 to 47.1,131255
Seasonal Influenza,HHS Regions/National,United States,100,2022-23,12,Age,6 Months - 17 Years,51.1,50.6 to 51.6,131255
Seasonal Influenza,HHS Regions/National,United States,100,2022-23,1,Age,6 Months - 17 Years,53.8,53.3 to 54.3,131255
Seasonal Influenza,HHS Regions/National,United States,100,2022-23,2,Age,6 Months - 17 Years,55.3,54.8 to 55.8,131255
Seasonal Influenza,HHS Regions/National,United States,100,2022-23,3,Age,6 Months - 17 Years,56.3,55.8 to 56.8,131255
